Age,Attrition,BusinessTravel,Department,EducationField,EmployeeNumber,Gender,JobRole,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35,No,Travel_Rarely,Sales,Marketing,100,Male,Sales Executive,Single,4312,No,16,2,15,13,2,8
45,No,Travel_Rarely,Research & Development,Other,101,Male,Research Director,Married,13245,Yes,17,3,0,0,0,0
37,No,Travel_Rarely,Research & Development,Medical,102,Male,Research Director,Single,13664,No,16,3,5,2,0,2
46,No,Travel_Rarely,Human Resources,Medical,103,Male,Human Resources,Divorced,5021,Yes,16,2,4,2,0,2
30,No,Travel_Rarely,Research & Development,Life Sciences,104,Male,Laboratory Technician,Married,5126,Yes,10,1,10,8,3,0
35,No,Travel_Rarely,Research & Development,Medical,105,Male,Research Scientist,Single,2859,No,6,3,6,4,0,4
55,No,Travel_Rarely,Sales,Life Sciences,106,Male,Sales Executive,Married,10239,No,24,4,1,0,1,0
38,No,Non-Travel,Research & Development,Medical,107,Female,Research Scientist,Divorced,5329,Yes,17,3,13,11,1,9
34,No,Travel_Rarely,Research & Development,Medical,110,Male,Manufacturing Director,Married,4325,No,5,2,5,2,1,3
56,No,Travel_Rarely,Research & Development,Life Sciences,112,Male,Manufacturing Director,Single,7260,No,37,3,6,4,0,2
23,No,Travel_Rarely,Sales,Technical Degree,113,Male,Sales Representative,Divorced,2322,No,3,3,0,0,0,0
51,No,Travel_Rarely,Research & Development,Life Sciences,116,Male,Laboratory Technician,Married,2075,No,10,4,4,2,0,3
30,No,Travel_Rarely,Research & Development,Life Sciences,117,Male,Healthcare Representative,Married,4152,No,11,3,11,10,10,8
46,Yes,Travel_Rarely,Sales,Medical,118,Male,Sales Executive,Single,9619,No,9,3,9,8,4,7
40,No,Travel_Frequently,Research & Development,Life Sciences,119,Male,Healthcare Representative,Married,13503,No,22,3,22,3,11,11
51,No,Travel_Rarely,Sales,Marketing,120,Male,Sales Executive,Single,5441,Yes,11,2,10,7,1,0
30,No,Travel_Rarely,Sales,Medical,121,Female,Sales Executive,Divorced,5209,Yes,11,4,11,8,2,7
46,No,Travel_Frequently,Research & Development,Medical,124,Male,Healthcare Representative,Married,10673,Yes,21,5,10,9,9,5
32,No,Travel_Rarely,Sales,Medical,125,Male,Sales Executive,Single,5010,No,12,0,11,8,5,7
54,No,Travel_Rarely,Research & Development,Technical Degree,126,Female,Research Director,Married,13549,No,16,5,4,3,0,3
24,No,Travel_Rarely,Sales,Other,128,Female,Sales Executive,Married,4999,No,4,2,3,2,0,2
28,No,Non-Travel,Sales,Medical,129,Male,Sales Executive,Married,4221,No,5,3,5,4,0,4
58,No,Travel_Rarely,Sales,Medical,131,Male,Sales Executive,Single,13872,No,38,1,37,10,1,8
44,No,Non-Travel,Research & Development,Medical,132,Male,Laboratory Technician,Married,2042,No,17,3,3,2,1,2
37,Yes,Travel_Rarely,Human Resources,Human Resources,133,Male,Human Resources,Divorced,2073,Yes,7,3,3,2,0,2
32,No,Travel_Rarely,Research & Development,Life Sciences,134,Male,Research Scientist,Single,2956,No,1,2,1,0,0,0
20,Yes,Travel_Frequently,Research & Development,Life Sciences,137,Female,Laboratory Technician,Single,2926,Yes,1,5,1,0,1,0
34,No,Travel_Rarely,Research & Development,Other,138,Female,Research Scientist,Single,4809,No,16,3,16,13,2,10
37,No,Non-Travel,Research & Development,Life Sciences,139,Male,Healthcare Representative,Divorced,5163,No,17,2,1,0,0,0
59,No,Non-Travel,Human Resources,Human Resources,140,Female,Manager,Married,18844,No,30,3,3,2,2,2
50,No,Travel_Frequently,Research & Development,Life Sciences,141,Female,Research Director,Married,18172,Yes,28,1,8,3,0,7
25,Yes,Travel_Rarely,Sales,Marketing,142,Male,Sales Executive,Single,5744,Yes,6,1,6,4,0,3
25,No,Travel_Rarely,Research & Development,Medical,143,Male,Research Scientist,Married,2889,No,2,2,2,2,2,1
22,No,Travel_Rarely,Research & Development,Medical,144,Female,Laboratory Technician,Single,2871,No,1,5,0,0,0,0
51,No,Travel_Frequently,Research & Development,Medical,145,Female,Healthcare Representative,Single,7484,No,23,1,13,12,12,8
34,Yes,Travel_Frequently,Research & Development,Life Sciences,147,Male,Laboratory Technician,Single,6074,Yes,9,3,9,7,0,6
54,No,Non-Travel,Human Resources,Human Resources,148,Female,Manager,Single,17328,Yes,23,3,5,3,4,4
24,No,Travel_Rarely,Research & Development,Life Sciences,150,Male,Laboratory Technician,Married,2774,No,6,2,5,3,1,2
34,No,Travel_Rarely,Research & Development,Life Sciences,151,Female,Research Scientist,Divorced,4505,No,12,3,1,0,0,0
37,No,Travel_Rarely,Sales,Life Sciences,152,Male,Sales Executive,Single,7428,No,12,3,5,3,1,3
34,No,Travel_Rarely,Research & Development,Medical,153,Female,Manager,Single,11631,No,14,6,11,10,5,8
36,No,Travel_Frequently,Sales,Technical Degree,154,Female,Sales Executive,Married,9738,No,10,6,9,7,2,8
36,No,Travel_Rarely,Research & Development,Life Sciences,155,Female,Laboratory Technician,Divorced,2835,No,7,2,1,0,0,0
43,No,Travel_Frequently,Sales,Life Sciences,158,Male,Manager,Married,16959,Yes,25,3,25,12,4,12
30,No,Travel_Frequently,Research & Development,Life Sciences,159,Male,Research Scientist,Divorced,2613,No,10,2,10,7,0,9
33,No,Non-Travel,Sales,Marketing,160,Male,Sales Executive,Married,6146,No,8,2,7,7,0,7
56,Yes,Travel_Rarely,Research & Development,Life Sciences,161,Female,Research Scientist,Married,4963,Yes,7,2,5,4,4,3
51,No,Travel_Rarely,Research & Development,Life Sciences,162,Male,Research Director,Single,19537,No,23,5,20,18,15,15
31,Yes,Travel_Rarely,Sales,Life Sciences,163,Male,Sales Executive,Married,6172,Yes,12,3,7,7,7,7
26,No,Travel_Rarely,Research & Development,Other,164,Female,Research Scientist,Married,2368,No,5,3,5,4,4,3
58,Yes,Travel_Rarely,Research & Development,Medical,165,Female,Healthcare Representative,Married,10312,No,40,3,40,10,15,6
19,Yes,Travel_Rarely,Sales,Marketing,167,Male,Sales Representative,Single,1675,Yes,0,2,0,0,0,0
22,No,Travel_Rarely,Research & Development,Technical Degree,169,Male,Laboratory Technician,Married,2523,No,3,2,2,1,2,1
49,No,Travel_Rarely,Research & Development,Medical,170,Female,Manufacturing Director,Married,6567,No,16,2,15,11,5,11
43,No,Travel_Frequently,Research & Development,Medical,171,Female,Research Scientist,Single,4739,No,18,2,3,2,1,2
50,No,Travel_Frequently,Sales,Marketing,174,Female,Sales Executive,Single,9208,No,16,3,2,2,2,1
31,Yes,Travel_Rarely,Sales,Life Sciences,175,Female,Sales Executive,Married,4559,Yes,4,2,2,2,2,2
41,No,Travel_Rarely,Sales,Life Sciences,176,Male,Sales Executive,Divorced,8189,Yes,12,2,9,7,0,7
26,No,Travel_Rarely,Human Resources,Life Sciences,177,Female,Human Resources,Married,2942,No,8,3,8,7,5,7
36,No,Travel_Rarely,Research & Development,Medical,178,Male,Manufacturing Director,Divorced,4941,No,7,0,3,2,0,1
51,Yes,Travel_Frequently,Research & Development,Life Sciences,179,Male,Manufacturing Director,Single,10650,No,18,2,4,2,0,3
39,No,Travel_Rarely,Sales,Life Sciences,182,Female,Sales Executive,Married,5902,No,17,1,15,11,5,9
25,No,Travel_Rarely,Sales,Life Sciences,183,Male,Sales Executive,Married,8639,No,6,3,2,2,2,2
30,No,Travel_Rarely,Human Resources,Human Resources,184,Male,Human Resources,Married,6347,Yes,12,2,11,9,4,7
32,Yes,Travel_Rarely,Research & Development,Medical,190,Female,Laboratory Technician,Single,4200,No,10,2,5,4,0,4
45,No,Travel_Rarely,Research & Development,Medical,192,Male,Research Scientist,Single,3452,No,9,2,6,5,0,3
38,No,Travel_Rarely,Research & Development,Technical Degree,193,Female,Research Scientist,Single,4317,Yes,19,2,3,2,2,2
30,No,Travel_Rarely,Research & Development,Life Sciences,194,Female,Research Scientist,Single,2632,No,5,4,5,4,0,4
32,No,Travel_Frequently,Sales,Medical,195,Male,Sales Executive,Divorced,4668,No,9,2,8,7,0,7
30,No,Travel_Rarely,Research & Development,Technical Degree,197,Female,Research Scientist,Divorced,3204,No,8,3,3,2,2,2
30,No,Travel_Rarely,Research & Development,Medical,198,Male,Laboratory Technician,Single,2720,No,6,3,5,3,1,2
41,No,Travel_Frequently,Research & Development,Life Sciences,199,Male,Manager,Divorced,17181,No,21,2,7,6,7,7
41,No,Travel_Rarely,Research & Development,Life Sciences,200,Male,Laboratory Technician,Married,2238,No,7,2,5,0,1,4
19,No,Travel_Rarely,Research & Development,Medical,201,Female,Laboratory Technician,Single,1483,No,1,3,1,0,0,0
40,No,Travel_Frequently,Research & Development,Medical,202,Female,Research Scientist,Divorced,5605,No,20,2,20,7,2,13
35,No,Travel_Rarely,Sales,Marketing,204,Male,Sales Executive,Married,7295,No,10,3,10,8,0,6
53,No,Travel_Rarely,Sales,Marketing,205,Male,Sales Representative,Married,2306,Yes,13,3,7,7,4,5
45,No,Travel_Rarely,Research & Development,Life Sciences,206,Male,Laboratory Technician,Divorced,2348,No,20,2,17,9,0,15
32,No,Travel_Frequently,Sales,Marketing,207,Female,Sales Executive,Single,8998,No,9,2,9,8,3,7
29,No,Non-Travel,Research & Development,Technical Degree,208,Male,Manufacturing Director,Married,4319,No,10,1,10,7,0,9
51,No,Travel_Rarely,Research & Development,Medical,211,Male,Manufacturing Director,Married,6132,No,10,2,1,0,0,0
58,No,Travel_Rarely,Research & Development,Medical,214,Female,Research Scientist,Married,3346,Yes,9,3,1,0,0,0
40,No,Travel_Rarely,Sales,Marketing,215,Male,Sales Executive,Married,10855,No,15,2,12,11,2,11
34,No,Travel_Frequently,Sales,Marketing,216,Female,Sales Representative,Married,2231,No,6,3,4,3,1,2
22,No,Travel_Rarely,Research & Development,Medical,217,Male,Research Scientist,Married,2323,No,2,6,2,2,2,2
27,No,Non-Travel,Research & Development,Medical,218,Male,Research Scientist,Divorced,2024,No,6,1,2,2,2,2
28,No,Travel_Rarely,Research & Development,Medical,221,Male,Research Scientist,Married,2713,No,5,2,5,2,0,2
57,No,Travel_Rarely,Research & Development,Life Sciences,223,Male,Healthcare Representative,Divorced,9439,Yes,12,2,5,3,1,4
27,No,Non-Travel,Research & Development,Medical,224,Male,Research Scientist,Divorced,2566,Yes,1,2,1,1,0,1
50,No,Travel_Rarely,Research & Development,Life Sciences,226,Female,Manager,Single,19926,No,21,5,5,4,4,4
41,No,Travel_Rarely,Research & Development,Life Sciences,227,Male,Research Scientist,Divorced,2451,No,13,2,9,8,1,8
30,No,Travel_Rarely,Sales,Life Sciences,228,Female,Sales Executive,Married,9419,No,12,2,10,9,7,4
38,No,Travel_Rarely,Sales,Life Sciences,230,Female,Sales Executive,Single,8686,No,12,2,8,3,0,7
32,No,Travel_Rarely,Research & Development,Life Sciences,231,Male,Research Scientist,Single,3038,No,8,2,5,4,1,4
27,No,Travel_Rarely,Research & Development,Technical Degree,233,Male,Research Scientist,Married,3058,Yes,6,3,5,2,1,1
19,Yes,Travel_Frequently,Sales,Technical Degree,235,Female,Sales Representative,Single,2325,No,1,5,0,0,0,0
36,No,Travel_Frequently,Research & Development,Medical,238,Male,Laboratory Technician,Single,2088,No,13,3,8,7,7,2
30,No,Non-Travel,Research & Development,Medical,239,Male,Laboratory Technician,Divorced,3072,No,12,4,12,9,6,10
45,No,Travel_Rarely,Sales,Life Sciences,240,Female,Sales Executive,Divorced,5006,Yes,9,3,5,4,0,3
56,No,Travel_Rarely,Research & Development,Life Sciences,241,Female,Research Scientist,Divorced,4257,Yes,19,3,2,2,2,2
33,No,Travel_Rarely,Research & Development,Life Sciences,242,Male,Research Scientist,Single,2500,No,4,2,3,1,0,2
19,Yes,Travel_Rarely,Research & Development,Life Sciences,243,Male,Laboratory Technician,Single,1102,No,1,3,1,0,1,0
46,No,Travel_Rarely,Sales,Marketing,244,Female,Sales Executive,Divorced,10453,No,24,2,24,13,15,7
38,No,Travel_Rarely,Research & Development,Life Sciences,245,Female,Laboratory Technician,Single,2288,No,2,3,2,2,2,1
31,No,Travel_Rarely,Research & Development,Medical,246,Female,Research Scientist,Married,3929,Yes,7,0,4,2,0,2
34,No,Travel_Rarely,Research & Development,Medical,247,Female,Research Scientist,Single,2311,No,9,3,3,2,1,2
41,Yes,Travel_Rarely,Sales,Marketing,248,Female,Sales Representative,Single,3140,Yes,4,5,4,3,0,2
50,No,Travel_Rarely,Research & Development,Medical,249,Male,Laboratory Technician,Married,3690,No,5,2,3,2,0,2
53,No,Travel_Rarely,Research & Development,Medical,250,Female,Manufacturing Director,Divorced,4450,No,5,3,4,2,1,3
33,No,Travel_Rarely,Research & Development,Medical,252,Female,Research Scientist,Married,2756,No,8,5,8,7,1,6
40,No,Travel_Rarely,Research & Development,Medical,253,Female,Manager,Married,19033,No,21,2,20,8,9,9
55,No,Travel_Rarely,Research & Development,Medical,254,Male,Research Director,Single,18722,No,36,3,24,15,2,15
34,No,Travel_Frequently,Research & Development,Life Sciences,256,Male,Manufacturing Director,Married,9547,No,10,2,10,9,1,9
51,No,Travel_Rarely,Research & Development,Medical,258,Female,Healthcare Representative,Single,13734,No,21,6,7,7,1,0
52,No,Travel_Rarely,Research & Development,Life Sciences,259,Male,Manager,Married,19999,No,34,5,33,18,11,9
27,No,Travel_Rarely,Research & Development,Medical,260,Female,Research Scientist,Single,2279,No,7,2,7,7,0,3
35,Yes,Travel_Rarely,Research & Development,Life Sciences,261,Male,Manufacturing Director,Married,5916,Yes,8,1,1,0,0,1
43,No,Non-Travel,Research & Development,Medical,262,Male,Research Scientist,Divorced,2089,No,7,3,5,4,2,2
45,No,Non-Travel,Research & Development,Medical,264,Male,Manager,Married,16792,No,22,1,20,8,11,8
37,No,Travel_Rarely,Research & Development,Life Sciences,267,Male,Research Scientist,Married,3564,Yes,8,3,8,7,1,7
35,No,Travel_Frequently,Research & Development,Medical,269,Female,Laboratory Technician,Single,4425,No,10,5,6,2,1,2
42,No,Non-Travel,Research & Development,Medical,270,Female,Manufacturing Director,Divorced,5265,No,11,5,5,3,0,2
38,No,Travel_Rarely,Research & Development,Life Sciences,271,Male,Manufacturing Director,Married,6553,No,14,3,1,0,0,0
38,No,Travel_Rarely,Research & Development,Technical Degree,273,Male,Manufacturing Director,Married,6261,No,9,3,7,7,1,7
27,No,Travel_Frequently,Research & Development,Technical Degree,274,Male,Manufacturing Director,Married,4298,No,6,1,2,2,2,0
49,No,Non-Travel,Research & Development,Life Sciences,275,Male,Manufacturing Director,Divorced,6804,Yes,7,0,7,7,1,7
34,No,Travel_Frequently,Research & Development,Medical,277,Male,Research Scientist,Divorced,3815,Yes,5,4,5,3,2,0
40,No,Travel_Rarely,Research & Development,Medical,281,Male,Laboratory Technician,Married,2741,Yes,15,2,7,2,3,7
38,Yes,Travel_Rarely,Research & Development,Medical,282,Male,Healthcare Representative,Married,6673,Yes,17,2,1,0,0,0
29,Yes,Travel_Rarely,Sales,Marketing,283,Female,Sales Executive,Married,7639,No,10,3,10,4,1,9
22,No,Travel_Rarely,Research & Development,Life Sciences,284,Male,Research Scientist,Divorced,2328,Yes,4,2,4,2,2,2
36,No,Travel_Frequently,Research & Development,Medical,286,Female,Laboratory Technician,Single,2153,No,8,2,8,1,1,7
40,No,Non-Travel,Research & Development,Life Sciences,287,Male,Healthcare Representative,Married,4876,No,5,5,3,2,0,2
46,No,Travel_Rarely,Research & Development,Medical,288,Male,Healthcare Representative,Divorced,9396,No,17,3,4,2,0,3
32,Yes,Travel_Rarely,Sales,Medical,291,Male,Sales Executive,Married,10400,No,14,2,14,8,9,8
30,No,Non-Travel,Research & Development,Life Sciences,292,Male,Manufacturing Director,Single,8474,No,12,2,11,8,5,8
27,No,Travel_Frequently,Sales,Life Sciences,293,Female,Sales Executive,Single,9981,No,7,2,7,7,0,7
51,No,Travel_Rarely,Research & Development,Life Sciences,296,Male,Research Director,Married,12490,No,16,5,10,9,4,7
30,Yes,Travel_Rarely,Research & Development,Technical Degree,297,Female,Research Scientist,Single,2657,Yes,8,5,5,2,0,4
41,No,Travel_Rarely,Sales,Life Sciences,298,Female,Manager,Single,13591,Yes,16,3,1,0,0,0
30,Yes,Travel_Frequently,Sales,Marketing,299,Female,Sales Executive,Single,6696,No,9,5,6,3,0,1
29,Yes,Travel_Rarely,Research & Development,Technical Degree,300,Male,Research Scientist,Single,2058,No,7,1,6,2,1,5
45,No,Non-Travel,Sales,Medical,302,Female,Sales Executive,Single,8865,No,23,2,19,7,12,8
54,No,Travel_Rarely,Sales,Marketing,303,Female,Sales Executive,Married,5940,No,16,4,6,2,0,5
36,No,Travel_Rarely,Research & Development,Life Sciences,304,Male,Laboratory Technician,Single,5914,No,16,3,13,11,3,7
33,No,Travel_Rarely,Research & Development,Medical,305,Female,Research Scientist,Married,2622,No,7,3,3,2,1,1
37,No,Travel_Frequently,Research & Development,Other,306,Male,Research Director,Divorced,12185,Yes,10,1,10,8,0,7
38,No,Travel_Rarely,Sales,Life Sciences,307,Male,Sales Executive,Divorced,10609,No,17,6,16,10,5,13
31,No,Non-Travel,Research & Development,Medical,308,Male,Manufacturing Director,Married,4345,No,6,2,5,4,1,4
59,No,Travel_Rarely,Research & Development,Life Sciences,309,Male,Research Scientist,Married,2177,No,7,6,1,0,0,0
37,No,Travel_Frequently,Sales,Marketing,311,Male,Sales Representative,Divorced,2793,No,13,2,9,8,5,8
29,No,Travel_Frequently,Sales,Medical,312,Female,Sales Executive,Married,7918,No,11,5,11,10,4,1
35,No,Travel_Frequently,Sales,Marketing,314,Female,Sales Executive,Single,8789,No,10,3,10,7,0,8
29,Yes,Travel_Rarely,Research & Development,Medical,315,Male,Research Scientist,Single,2389,Yes,4,3,4,3,0,1
52,No,Travel_Rarely,Research & Development,Life Sciences,316,Female,Laboratory Technician,Single,3212,No,6,3,2,2,2,2
42,No,Travel_Rarely,Research & Development,Technical Degree,319,Male,Manager,Married,19232,No,22,3,22,17,11,15
59,No,Travel_Rarely,Human Resources,Medical,321,Male,Human Resources,Married,2267,No,7,2,2,2,2,2
50,No,Travel_Rarely,Sales,Medical,323,Female,Manager,Divorced,19517,No,32,3,7,0,0,6
33,Yes,Travel_Rarely,Research & Development,Medical,325,Male,Laboratory Technician,Married,2436,Yes,8,2,5,4,0,4
43,No,Travel_Rarely,Sales,Marketing,327,Female,Manager,Married,16064,Yes,22,3,17,13,1,9
33,Yes,Travel_Rarely,Research & Development,Life Sciences,328,Female,Laboratory Technician,Married,2707,No,13,3,9,7,1,7
52,No,Non-Travel,Sales,Life Sciences,329,Male,Manager,Single,19068,Yes,33,2,33,7,15,12
